title,category,volatility,minBet,lookFor,stopPlaying,playWhen,stopWhen
"88 Fortunes Emperor","counter-meter","high","$0.88","Counter at 15+ (counter glows when ready) | Check each denomination separately (counter shown above 5th reel or on bet panel)","After free games trigger (counter resets to 8)","<strong>Primary Requirement:</strong> - Free games counter: ≥ <strong>15</strong>  **Counter Location:** - Above 5th reel (right side) - Also visible on bet panel  **How to Check:** - Look at bet panel to see counter for each bet level - Check all denominations  | Counter | State | Action | |---------|-------|--------| | 8–13 | ❌ Cold | Walk away | | 14 | ⚠️ Early | Risky play | | 15+ | ✅ **Play** | Counter glows | | 18 | 🎰 Trigger | Must hit |  ---","- Free games trigger - Counter resets to <strong>8</strong>  ---"
"Alien Heroes","accumulation","medium","$0.88","2 stars in all 3 containers (kung fu/ninja/cowboy on right side of reels) | Any active hero feature (alien with flames on top of container)","After triggering any hero feature (free games bonus)","**Option A — All Containers Ready:** - All <strong>3</strong> containers have <strong>2</strong> stars each - Kung Fu: 2 stars ✓ - Ninja: 2 stars ✓ - Cowboy: 2 stars ✓  **Option B — Active Hero Feature:** - Alien with **flames** visible on top of any container  ---","- Any hero feature triggers - Free games bonus completes - Re-evaluate star counts  ---"
"Aztec Banner / Pegasus Banner","multi-state","high","$0.88","3+ card symbols active above reels (check spin counters below each) | 2 symbols active with 5+ spins each (verify on bet pad)","All card symbol activations expire (counters reach 0)","**Option A — Three Active (Recommended):** - <strong>3+</strong> card symbols active above reels - Check spin counter below each card  **Option B — Two Active (Aggressive):** - <strong>2</strong> card symbols active - Both have <strong>5+</strong> spins remaining - Higher variance, but activating 3rd card covers losses  **How to Check:** - Look at bet pad for active card count - Spin counter visible below each card symbol  ---","- All card symbol activations expire (counters reach 0) - Re-evaluate after any banner lands  ---"
"BIG OCEAN JACKPOTS","counter-meter","high","$0.88","3+ wild bubbles anywhere except top row (ignore jackpot bubbles showing mini/minor/maxi)","After wild bubbles trigger (poker symbols turn wild)","⚠️ **CRITICAL:** Do NOT count bubbles on top row—they exit next spin.  <strong>Primary Requirement:</strong> - <strong>3+</strong> wild bubbles anywhere except top row  **Why Wild Bubbles:** - Reel position doesn't matter - Value comes from poker symbols turning wild after trigger - Creates cascade of wild wins  ---","- Wild bubbles trigger (poker symbols turn wild) - All wild bubbles move off top of screen  ---"
"Blazin’ Diamond / Lightning Wilds","multi-state","high","$0.88","","After Pay Upgrade spins reach 0 (check all bet levels before leaving machine)","<strong>Primary Requirement:</strong> - ""Pay Upgrade Active"" banner visible above pay table - Spins remaining counter > 0  **How to Spot:** | Indicator | Location | |-----------|----------| | ""Pay Upgrade Active"" banner | Middle of screen, above pay table | | Spins remaining | Below the banner | | Upbeat music | Plays when switching to active bet level |  ---","- Pay Upgrade spins reach 0 - **Check all bet levels before leaving** (may be active on different denomination)  ---"
"Blazing X","counter-meter","high","$0.88","Any active multiplier (2x/3x/5x/10x/25x) with 1 or more spins remaining (check bet pad above each bet level)","After remaining spins reach 0 (multiplier resets)","<strong>Primary Requirement:</strong> - Any active multiplier with <strong>1+</strong> spins remaining  **How to Check:** - Look **directly on bet pad** - Shows multiplier and spins remaining above each bet level  | Multiplier Active | Spins Left | Action | |-------------------|------------|--------| | 2x–25x | 1+ | ✅ **Play** | | None | 0 | ❌ Walk away |  ---","- Remaining spins reach <strong>0</strong> - Multiplier resets (unless you triggered a new one)  ---"
"BLOCK BONANZA","counter-meter","high","$0.88","First 3 columns total 38x+ bet | Yellow block in columns 1-3 (not the smallest 16.6x) | Multiple red/green blocks worth calculating","Target blocks won and replaced with lower-value blocks","**Option A — Yellow Block:** - Yellow block in columns <strong>1–3</strong> - ❌ **EXCEPT:** Smallest yellow (16.6x bet)  **Option B — Value Calculation:** - Total value of blocks in first 3 columns ≥ <strong>38x</strong> bet - Example: $3 bet → Need $114+ total  **Quick Assessment:** - Don't calculate if only purple/blue blocks - Look for yellow OR multiple red/green blocks first  | What You See | Action | |--------------|--------| | Yellow in columns 1–3 (not smallest) | ✅ **Play** | | Multiple red/green, total ≥38x | ✅ **Play** | | Only purple/blue blocks | ❌ Walk away | | Best blocks only in columns 4–5 | ❌ Walk away |  ---","- Target blocks won and replaced with lower values - Block values drop below <strong>38x</strong> threshold - Blocks shift off screen  ---"
"Blooming Penzai","counter-meter","high","$0.88","3+ fully gold trees (green rim and gold orb on pot) | Total prizes above all 5 reels = 100x+ bet (spread across multiple reels preferred)","After Blooming Gold feature triggers and awards prizes (trees reset to green shrubs)","**Option A — Total Value:** - Total prizes above all 5 reels ≥ <strong>100x</strong> bet - Prizes should be **spread across multiple reels** (lowers variance)  **Option B — Gold Tree Count:** - <strong>3+</strong> fully gold trees - Look for: Green rim + gold orb on pot  **Option C — Four Gold Trees:** - <strong>4</strong> fully gold trees - Almost always a play - ❌ **EXCEPT:** All 4 recently turned gold (low prize values)  | Gold Trees | Total Value | Action | |------------|-------------|--------| | 0–2 | Below 100x | ❌ Walk away | | 3+ | Any | ✅ **Play** | | Any | 100x+ bet | ✅ **Play** |  ---","- Blooming Gold feature triggers and completes - Trees reset to green shrubs - Prize totals drop below threshold  ---"
"Bubble Blast / Spells ’N Whistles / Trials of Atlantis","counter-meter","high","$0.88","Total bubble values 5x+ bet size (exclude top row - those leave next spin) | Check below bottom row for incoming bubbles","After bubbles collected and total remaining value drops below 5x bet","⚠️ **CRITICAL:** Do NOT count bubbles on top row—they leave next spin.  <strong>Primary Requirement:</strong> - Total bubble credit value ≥ <strong>5x</strong> bet size - Example: $5 bet → Need $25+ in bubble values  **Also Check:** - Bubbles below bottom row (moving into play next spin) - If credit value obscured → Play anyway to reveal it  **Bubble Position Check:** | Row | Counts Toward Total? | |-----|---------------------| | Top row | ❌ No (exits next spin) | | Middle rows | ✅ Yes | | Bottom row | ✅ Yes | | Below bottom | ✅ Yes (incoming) |  ---","- Bubbles collected and remaining total drops below <strong>5x</strong> bet - All bubbles move off top of screen  ---"
"BUBBLE MANIA","counter-meter","high","$0.88","Total bubble values 5x+ bet (exclude top row) | Any giant bubble (2+ reels wide) regardless of value | Check below bottom row for incoming bubbles","All bubbles move off top of screen with no valuable bubbles remaining below","⚠️ **CRITICAL:** Do NOT count bubbles on top row—they leave next spin.  **Option A — Total Value:** - Total bubble credit value ≥ <strong>5x</strong> bet size - Example: $3.75 bet → Need $18.75+ in bubble values  **Option B — Giant Bubbles:** - Any giant bubble (2+ reels wide) - Play regardless of credit value - Giant bubbles = 2, 3, or 4 reels wide  **Option C — Hidden Bubbles:** - Bubbles visible below bottom row - Credit value obscured → Play anyway to see value  **Bubble Position Check:** | Row | Counts Toward Total? | |-----|---------------------| | Top row | ❌ No (exits next spin) | | Middle rows | ✅ Yes | | Bottom row | ✅ Yes | | Below bottom | ✅ Yes (check for incoming) |  ---","- All bubbles move off top of screen - No valuable bubbles remaining below bottom row  ---"
"BUFFALO LINK","counter-meter","high","$0.88","Buffalo head counter at 1610+ (green text above 5th reel) | Use $1 bill trick to check all bet levels without spinning","After hold & spin or free games feature triggers (counter resets to 100)","<strong>Counter Requirements:</strong> - Counter ≥ <strong>1610</strong> - Counter displayed in **green text** above the 5th reel  <strong>Location:</strong> - Check the counter above the **fifth reel** - Use $1 bill trick to check all bet levels without spinning  ⚠️ **IMPORTANT:** This threshold is conservative. Some APs play at 1350+, but data supports 1610+ for consistent profitability.  ---","- Hold & Spin feature triggers (counter resets to 100) - Free Games feature triggers (counter resets to 100) - Bankroll loss exceeds your predetermined limit  ---"
